case,speaker,content,is_fraud
案例-0,陈某,再也不相信天上掉馅饼的事了。,False
案例-0,陈某,先以介绍工作、谈恋爱、做生意等各种理由，通过微信或电话将人骗到资阳。,True
案例-0,陈某,将人骗到资阳后，再将新人带到“家”里，由“家长”安排熟手洗脑，让新人自愿掏钱购买“产品”，加入传销组织。,True
案例-0,陈某,交钱只能是现金，且只有C级及以上人员才能资格收钱，随后上交。,True
案例-0,陈某,按照传销组织设立的规则，购买一套2800元的“化妆品”，约有一半的资金被A级别高层瓜分，剩下一半才按不同级别、不同比例来分。,True
案例-0,陈某,举例说，晋升到B级，除了可以住酒店，每月还可以获得数万元奖金。而像D、E级这种底层，如果拉不到新人交钱，大多数每天都啃土豆和白菜，连见肉都难。,True
案例-1,赖某,民警同志，请问我可以办理营业执照吗？,False
案例-1,民警,你为什么要办营业执照？有什么打算？,False
案例-1,赖某,我看到了一则广告，说可以在网上办理营业执照，而且还有国家秘密扶贫项目。听起来很有吸引力。,False
案例-1,民警,这个广告是在哪个平台上看到的？你是如何联系到相关平台的人员的？,False
案例-1,赖某,我是在抖音短视频平台看到的广告，然后我搜了很多资料，在网上联系到了相关平台的人员。,False
案例-1,民警,他们是怎么说服你的？你对他们的承诺有多大信心？,False
案例-1,赖某,他们告诉我有个国家扶贫项目，只需要低投入就可以获得高收益，而且还说可以通过投资平台成为合伙人，享受分红。我对他们的承诺非常有信心。,False
案例-1,民警,你提交个人资料后等了多久没有收到审批结果？,False
案例-1,赖某,我已经提交了很多个人资料，可是一直没有收到审批结果。可能是需要一些时间吧。,False
案例-1,民警,赖某先生，我必须告诉你，你被骗了。这个项目是假的，没有任何国家扶贫项目可以通过网上投资获得高收益的。,False
案例-1,赖某,什么！我怎么可能被骗？平台的人明明给了我那么多保证，我以为自己是个幸运儿。,False
案例-1,民警,诈骗分子往往利用人们的贪欲和侥幸心理来进行欺骗，他们给你无限美好的承诺，让你以为自己是特殊的，然后骗走你的钱财。现实生活中诈骗无处不在，不要轻易相信一夜暴富的诱惑，只有脚踏实地，勤劳才能致富。,False
案例-2,姚某,大家好，我是恩多多的创始人姚某。今天我想向大家介绍一下我们公司的运营方式和恩多多的使用方法。,False
案例-2,张某,大家好，我是教育总监张某，很高兴能在这里与大家交流。在接下来的时间里，我会和姚总一起详细介绍一下我们的公司和产品。,False
案例-2,姚某,感谢张某的介绍。首先，我要告诉大家，恩多多并不是传销，而是一个创新的购物平台。我们的目标是为消费者提供更便宜的商品和更高的返利。,False
案例-2,张某,是的，恩多多的核心理念就是让用户享受购物的同时也能赚到钱。每次在恩多多上购物后，我们会给用户一定的返利作为回报。这是一个互利的平台。,False
案例-2,姚某,没错，我们的返利是非常高的。实际上，你在恩多多上购物花的钱并不算什么，只要你能吸引更多的用户加入，你就有机会赚到更多的返利。,True
案例-2,张某,是的，我们的返利机制是十分简单的。你购买商品后，可以将商品在恩多多上售出。平台会扣除一定的手续费后，剩余的钱会返还给你。这样你就可以获得额外的收入。,False
案例-2,姚某,正确！通过这种方式，你不仅能赚到返利，还能提升你在恩多多的等级。等级越高，你获得的返利就会越多。所以，你要多多发展下线，让更多的人加入恩多多。,True
案例-2,张某,是的，我们的等级制度是根据你的购物金额和下线人数来决定的。购物金额越高，下线人数越多，你的等级就会越高。等级越高，你获得的返利就会越多。,False
案例-2,姚某,没错，这是一个很公平的机制。只要你能努力发展下线，你就有机会赚到更多的钱。而且，我们公司的返利机制是可以持续的，你的收入将会持续增长。,True
案例-2,张某,是的，恩多多的发展前景非常好。我们已经有了很多成功的案例，许多会员通过恩多多赚到了大量的钱。而且，我们的发展趋势也非常乐观。,False
案例-3,李明,你好，请问你对在线投资有没有兴趣？,False
案例-3,王丽,有点兴趣，你有什么项目可以介绍吗？,False
案例-3,李明,当然有啦！我们公司目前正在推出一种利润高、风险低的投资计划，你有没有听说过“滚动收益计划”？,True
案例-3,王丽,没听说过，能具体说说是怎么回事吗？,False
案例-3,李明,滚动收益计划是一种通过投资互联网金融项目来获取高额收益的计划。我们可以帮你投资在各类高收益的项目上，每个月获得稳定的收益，保本保息哦！,True
案例-3,王丽,听起来不错，但是我还是有一些疑问。这个计划是否安全可靠呢？,False
案例-3,李明,非常安全可靠！我们公司已经有多年的经验，在互联网金融领域有良好的声誉，而且我们也是符合监管要求的合法公司。你不用担心，我们会为你做出详细的投资方案和风险评估报告，确保你的资金安全！,True
案例-3,王丽,那投资的金额和周期是怎么样的呢？,False
案例-3,李明,你可以根据自己的实际情况来投资，最低投资金额是10000元，投资周期可以根据你的需求来选择，最短一个月起。不过，我们建议你能够长期持有，这样收益会更稳定哦！,False
案例-3,王丽,好的，我会考虑一下的。但是，我还是想了解一下投资的风险。,False
案例-3,李明,投资是有风险的，但是我们会帮你进行全面的风险评估和控制。而且，我们公司还有一支专业的团队，会及时调整投资组合，降低风险并提高收益！,False
案例-3,王丽,好的，我会仔细考虑的，谢谢你的介绍！,False
案例-3,李明,不客气，也欢迎你随时联系我们。我们公司专业的投资经理会为你量身定制投资方案，让你的财富倍增！,True
案例-4,王女士,半年没见到儿子了，我决定坐火车去兰州看他。,False
案例-4,王女士,儿子跟一个叫张琳琳的女孩在一起，在我都不知道的情况下还订婚了。,False
案例-4,王女士,儿子告诉我他生病住院了，还需要钱做手术。,False
案例-4,王女士,我转了5万元给儿子的女友，她说手术费不够还要3万元。,False
案例-4,民警,接到报警后，我们立即展开调查，发现于某的彩超报告是假的。,False
案例-4,民警,我们进一步调查发现，于某其实在陕西渭南。,False
案例-4,民警,经过调查我们发现于某是被一个诈骗团伙骗取了21万元。,False
案例-5,张某模,哎，我上个月认识了一个叫陈健的女孩，我们在网上聊了一段时间，后来确定了恋爱关系。,False
案例-5,张某模,她和我说她在南阳有一份工作，每个月能有4000元至6000元的收入，我想着换个工作也挺好的。,False
案例-5,张某模,于是我就坐火车来到南阳和她见面，没想到见面的第二天，她和她的朋友就开始给我讲怎么赚钱。,False
案例-5,张某模,他们说要交2900元作为加盟资格，然后拉自己的亲戚朋友进来，只要能持续地拉人头、交钱，就可以从中获得更多提成。,True
案例-5,张某模,他们还说这个事业可以学到口才学、心理学、人际交往学等知识，而且可以买别墅、开豪车，给爱人幸福。,True
案例-5,张某模,他们一直这么夸下去，我就动心了，觉得这个事业挺好的，可以实现财富自由。,False
案例-5,张某模,我第一单是从亲戚那里借了3000元，做了一单生意。结果他们觉得不够，又让我从表哥表姐那里借了6000元做了两单。,True
案例-5,张某模,为了更快地发展业绩，我又把弟弟张某吉从贵州老家骗到了南阳，让他也做这个事业。,False
案例-5,袁某钢,欢迎加入我们的团队，这是一个特别有意义的事业，只要持续发展下线，我们都能成为富豪。,True
案例-5,张某吉,一开始我觉得这像传销，不太相信。但看到其他人很容易就赚到钱，我也动了心，开始拉人当我的下线。,False
案例-5,张某吉,我发展了六七个下线，有同学也有网友。,False
案例-5,张某模,我们被窝点教的骗术有三种：一种是洗脑亲戚朋友，拉人头发展成下线；一种是以网恋的名义骗网友过来，再发展成下线；还有一种是卖惨，伪造受伤严重急需治疗的假象，骗取巨额钱款。,True
案例-5,张某模,不过，后来陈健把我拉黑了，我才知道她根本不是真心谈恋爱，只是为了骗人拉下线。,True
案例-5,警方,我们发现的线索，抓捕了窝点的高层级人员，还有200多个犯罪嫌疑人。我们救出了400多名刚被骗入窝点不久的年轻人。,False
案例-6,祁先生,我们当时也没问，就开始听课，反正当时人很多呢，一群人围着那个办公桌。,False
案例-6,投资公司,我们公司是一家大型的投资公司，管理资产超过5个亿。只要有意向的人，都可以来我们公司听免费的投资课，参与到公司的经营和分红。,True
案例-6,祁先生,这个项目听起来很有意思，既能赚钱又能享受旅居式养老。,False
案例-6,投资公司,是的，这个项目是专门为退休老人打造的，投资门槛只需要6000元，每天都可以获得150元的收益。,True
案例-6,祁先生,那听起来不错，我可以投资试试看。,False
案例-6,投资公司,非常欢迎您的加入！而且，我公司的董事长将会场上签署保本协议，保证您的本金安全。,True
案例-6,祁先生,那太好了！祁某愿意加入。,False
案例-6,投资公司,非常感谢您的支持！您的6000元投资将帮助我们的项目更好地发展。,True
案例-6,祁先生,投资后的第二天，我就收到了账户里的收益。,False
案例-6,投资公司,是的，我们公司非常注重回报给会员。接下来，我们还会举办一场迎新会，为您和其他新会员欢迎大家的加入。,True
案例-6,祁先生,听起来很有趣，我很期待参加迎新会。,False
案例-6,投资公司,那就太好了！您会和其他会员一起到当地的高档场所参加迎新会，并可以亲眼看到我们公司正在建设的度假村。,True
案例-6,祁先生,这样的机会真是太难得了，我一定要去看看。,False
案例-6,投资公司,非常感谢您对我们公司的支持！我们真心希望您能够享受到投资和养老的双重益处。,True
案例-6,祁先生,我会尽力推荐更多的人加入的。,False
案例-6,投资公司,非常感谢您的努力！我们公司也会给予优秀战队额外的奖励。,True
案例-6,祁先生,这真是太棒了！我会尽力发展下线的。,False
案例-6,投资公司,非常感谢您的支持！只要您能够吸引更多的新会员加入，您的收益就会越多。,True
案例-6,祁先生,我会尽我所能，让更多的人了解我们公司的优势。,False
案例-6,投资公司,非常感谢您的努力！我们相信您能够在我们公司取得很好的收益。,True
案例-6,祁先生,我会努力的，也希望能够获得更多的回报。,False
案例-6,投资公司,非常感谢您的支持！只要您继续努力，我们公司肯定会给予更多的奖励。,True
案例-6,祁先生,我一定不会辜负公司对我的期望。,False
案例-6,投资公司,非常感谢您的信任和支持！我们公司将继续为您提供更好的服务。,True
案例-6,祁先生,我会一直支持公司的发展。,False
案例-6,投资公司,非常感谢您的支持！我们将共同努力，一起创造更好的未来。,True
案例-6,祁先生,我相信我们会有很光明的未来。,False
案例-7,王明,你好，请问是张三先生吗？我是中国银行的客服员王明，有关您的账户和信用卡信息有一些问题需要确认，请您耐心配合。,False
案例-7,张三,是的，我就是张三。有什么问题需要确认吗？,False
案例-7,王明,非常感谢您的配合。我们发现您的账户存在异常交易，涉及一笔金额较大的转账。为了保护您的财产安全，请您告诉我您的账户信息以进行核实。,True
案例-7,张三,我的账户信息？这些信息应该是您银行已经知道的吧？,False
案例-7,王明,是的，但是我们需要再次核对以确保您的账户安全。请问您的卡号、密码、验证码以及其他绑定信息如何？,True
案例-7,张三,这些信息是私人的，我不太方便将它们告诉您。,False
案例-7,王明,非常理解您的担忧。为了确保您的账户安全，您可以拨打中国银行官方客服热线，我们的工作人员会为您提供帮助。,True
案例-7,张三,好的，我会拨打中国银行的官方客服热线核实此事，谢谢您的提醒。,False
案例-8,马女士,你推荐的这个软件真的能免费打电话吗？,False
案例-8,朋友,当然可以啦！我自己也在用呢。你下载了这个软件之后，按照指导操作就可以享受1年内免费拨打电话的服务了。,False
案例-8,马女士,这个软件是什么运营商呢？,False
案例-8,朋友,它自称是第四大运营商哦，号码是以166开头的。而且他们还拥有自制的“第二类电信增值服务呼叫中心”业务牌照，看起来非常正规。,False
案例-8,马女士,听起来挺不错的，既能省钱又能赚外快，我要试试看。,False
案例-8,朋友,没错没错，你下载之后先享受免费通话的福利，然后如果你能推荐给其他人使用，你还能获得推广返利哦。,False
案例-8,马女士,那还不错，我要试试看能不能赚点外快。,False
案例-8,朋友,没问题，你试用几天之后如果觉得满意的话，就交纳1000元成为会员，这样你就可以继续享受免费通话的福利，并且通过推广来赚取额外的收入。,False
案例-8,马女士,1000元会员费有点贵啊，你确定这个软件靠谱吗？,False
案例-8,朋友,放心吧，我已经用了好几个月了，一直都没有出过什么问题。而且1000元对于一年内免费通话来说也不算太贵了，你想想，换一个手机卡的费用都要比这个贵得多呢。,False
案例-8,马女士,好吧，既然你这么肯定，那我就试试看吧。,False
案例-8,朋友,没错没错，你肯定不会后悔的！赶快下载吧，我会一直在这里等着你。,False
案例-8,马女士,好的，我马上就去下载。,False
案例-8,客服人员,欢迎使用国通电话，我是客服人员小李，请问有什么可以帮到您的吗？,False
案例-8,马女士,你好，我是新下载的用户，我想先试用一下这个应用的免费通话功能。,False
案例-8,客服人员,您好！对于新用户，我们提供免费通话的试用期，您可以先随意拨打电话，不限区内区外，不限时长。,False
案例-8,马女士,太好了！谢谢你的帮助。,False
案例-8,朋友,怎么样，马女士，使用体验如何？,False
案例-8,马女士,非常流畅，声音质量也很好，完全和我之前用的手机卡一样。看来这个软件确实挺不错的。,False
案例-8,客服人员,亲爱的用户，我是客服人员小张，您好！可以麻烦您完善一下您的个人资料吗？这样方便我们更好地为您提供服务。,False
案例-8,马女士,好的，我马上填写。,False
案例-8,朋友,马女士，你已经使用了一段时间了吧，觉得怎么样？,False
案例-8,马女士,非常好用！不仅节省了通话费用，还可以通过推广赚一些返利，真是意外的收获。,False
案例-8,朋友,是吗是吗，这样就更好了，赚返利可是轻轻松松的事情，要坚持推广哦。,False
案例-8,马女士,当然，我会一直推广下去的。,False
案例-8,朋友,你做得很好！如果你再推荐给2个人使用，你的会员费就能回本了，以后的收入都是纯利润了。,False
案例-8,马女士,这么好？那我一定要好好努力推广。,False
案例-8,客服人员,尊敬的用户，为了感谢您的支持和推荐，我们特别为您准备了一个推广活动，只需要您推荐1人成为会员，即可获得100元的推广返利，更多推广奖励等您来领取。,False
案例-8,马女士,太棒了！这样一来，我不仅省了通话费，还能赚一些外快，真是太划算了。,False
案例-8,客服人员,亲爱的用户，由于我们的后台正在进行升级维护，请您暂时不要使用软件，稍后我们会通知您。,True
案例-8,马女士,好的，我知道了。,False
案例-8,客服人员,亲爱的用户，很抱歉给您带来了不便，我们后台升级已经完成，您可以正常使用软件了。,True
案例-8,马女士,太好了！终于能继续使用了。,False
案例-8,客服人员,我是客服小王，非常抱歉给您带来了困扰。如果您在使用过程中有任何问题，都可以随时联系我们。,True
案例-8,马女士,谢谢你的帮助，我会的。,False
案例-8,马女士,你好，怎么我打不开软件了？,False
案例-8,客服人员,很抱歉给您带来了困扰，由于我们的后台正在进行升级维护，所以您暂时无法使用软件。升级完成后，您就可以正常使用了。,True
案例-8,马女士,啊？这个升级要多长时间呢？,False
案例-8,客服人员,不用担心，升级不会太久的。我们会尽快完成，并及时通知您。,True
案例-9,李明,你好，我是李明。,False
案例-9,王红,你好，我是王红。有什么事吗？,False
案例-9,李明,我是国家银行的工作人员。我们注意到您的账户可能存在异常情况。,True
案例-9,王红,异常情况？是怎么回事？,False
案例-9,李明,我们发现您的账户可能被黑客攻击了，所以需要您立即采取紧急措施。,True
案例-9,王红,哪怕被黑客攻击了，我的银行账户里也没什么钱啊。,False
案例-9,李明,金钱并不是唯一的问题。黑客可能窃取您的个人信息，并用于非法活动。,True
案例-9,王红,那我该怎么办？,False
案例-9,李明,我们需要您的协助，配合我们进行一些操作来保护您的账户安全。,True
案例-9,王红,好的，我愿意配合。,False
案例-9,李明,首先，请您提供您的账户号码和密码，以确认身份。,True
案例-9,王红,账户号码是12345678，密码是123456。,False
案例-9,李明,非常感谢您的配合。接下来，我们需要您在指定的账户上进行一笔转账操作。,True
案例-9,王红,转账？转给谁？多少钱？,False
案例-9,李明,转账到我们指定的账户上，金额是50000元。,True
案例-9,王红,为什么要转这么多钱？,False
案例-9,李明,这是为了进行账户的加密和保护，以防止更大的损失。,True
案例-9,王红,我不能确定您的身份和意图，所以我不会进行转账操作。,False
案例-9,李明,这是一次紧急的操作，我们需要您的配合来保护您的账户，否则可能会遭受更大的损失。,True
案例-9,王红,我觉得这有些不对劲，我将会联系银行确认这件事。,False
案例-10,李明,你好，请问你有兴趣投资一个新的商业项目吗？我们的公司专注于互联网金融领域，有很大的发展潜力。,False
案例-10,王丽,听起来很有吸引力，我可以了解一下你们的项目吗？,False
案例-10,李明,当然可以！我们的项目是基于虚拟货币的投资，你只需要投入一定的资金就可以获得高回报。,True
案例-10,王丽,虚拟货币听起来有点风险，你能解释一下具体的投资方式吗？,False
案例-10,李明,我们会通过搭建一个庞大的销售网络来实现资金的回报，你只需要发展更多的人加入我们的项目，并让他们购买虚拟货币。,True
案例-10,王丽,这听起来像传销，我不确定是否合法。,False
案例-10,李明,绝对合法！我们的项目经过了政府的认可和监管，你可以放心参与。,True
案例-10,王丽,那我需要支付多少费用才能加入你们的项目呢？,False
案例-10,李明,只需要支付一个入门费用，然后你就可以开始发展下线，获取高额的回报。,True
案例-10,王丽,回报有多高？,False
案例-10,李明,根据你的努力程度，回报可以达到几倍乃至几十倍。,True
案例-10,王丽,这听起来太不真实了，我需要时间考虑一下。,False
案例-10,李明,当然，但是我们的名额有限，如果你再犹豫，可能就错过了这个机会。,True
案例-10,王丽,好的，我会尽快给你答复的。,False
案例-11,陈某,嗨，你好啊！我是陈某，听说你在做一个赚钱的项目，可以介绍一下吗？,False
案例-11,诈骗者,嗨，陈某！当然可以啊！我这有一个很赚钱的App，叫做“阶梯宝”。你只需要投入两万元，就可以每天赚几百元。,True
案例-11,陈某,哇，听起来很不错啊！那我怎么加入呢？,False
案例-11,诈骗者,很简单，你只需要下载并注册“阶梯宝”的App，然后用你的资金购买一些产品，就能立即开始赚钱了。,True
案例-11,陈某,我还需要做什么？,False
案例-11,诈骗者,你可以发展下线，拉一些人加入我们团队，他们每投入一笔资金，你就能获得相应的返利。而且，你拉的人越多，你的利润也就越大。,True
案例-11,陈某,听起来挺有意思的。我应该怎么拉人加入呢？,False
案例-11,诈骗者,你可以通过微信或其他社交平台和你认识的人介绍这个项目，告诉他们只需投入资金就能获得高额收益。还可以建立一个微信群聊，方便大家交流和分享经验。,True
案例-11,陈某,听起来挺容易的。那我什么时候开始拉人呢？,False
案例-11,诈骗者,你可以从现在开始。越早发展下线，你就能得到更多的返利。我会教你一些技巧，帮你更好地拉人加入我们团队。,True
案例-11,陈某,好的！我会尽快行动的。,False
案例-12,周阿姨,熟人叫我过去的，到那边喝喝茶聊聊天，我就过去了。,False
案例-12,投资顾问,我推荐一款投资“刷脸支付”的高科技创业项目，使用该项目研发的软件消费就可以返利，充值成为高级会员还可以躺着赚钱。,True
案例-12,周阿姨,下载好了他就说，那你充个100块试试呗。,False
案例-12,王芳,我通过对方分享的二维码下载了“网联嘉”应用，支付了988.8元的会费，成为钻石会员。,False
案例-12,王芳,我又在那位朋友的鼓动下，来到“网联嘉”的运营公司办公地，当场充了4.6万元会员费，成为县代理。,False
案例-12,曹某,所有的会员费累计是3500余万元，这个平台还有个功能是信用卡套现，这部分累计是8.5亿元。,True
案例-13,小王,说起来，最近我认识了一个朋友，他介绍了一个非常棒的项目，说是稳赚不赔，而且还能发展下线，高收益、高回报。听起来很有吸引力吧，你觉得怎么样？,False
案例-13,小李,哇，听起来真的很诱人啊！我也想赚钱，能不能具体说说这个项目是如何运作的呢？,False
案例-13,小王,当然可以啦！这个项目是通过发展人员来获取收益的。我们加入后，可以通过发展其他人员加入来获得额外的报酬。这样就能保证我们的收益不断增长。,True
案例-13,小李,哦，原来是这样啊。那这个项目的收益率和回报是多少呢？,False
案例-13,小王,项目的收益率非常高，远远超过其他投资方式。而且回报也非常可观。你现在加入，很快就能看到收益。,True
案例-13,小李,听起来确实很有吸引力。不过，我之前听说过传销这种骗局，这个项目不会是传销吧？,False
案例-13,小王,哎呀，你想太多了。这个项目绝对不是传销，它完全合法合规。我们的收益是通过发展人员带来的价值贡献获得的，和传销完全不一样呢。,True
案例-13,小李,嗯，那就好。不过，我还是有些担心，我怕把自己的钱投进去后，最后一无所获。,False
案例-13,小王,放心吧，这个项目非常靠谱，我自己也已经投入了不少资金，并得到了相应的回报。你也可以先试一下，如果不满意的话，可以随时退出。,True
案例-14,王明,大家好，我是王明，很高兴能够和大家在这里讨论如何防范新型网络传销。,False
案例-14,李华,你好王明，能否先跟我们介绍一下新型网络传销的套路和注意事项呢？,False
案例-14,王明,当然可以。首先，我要说的是网络传销的实施者通常使用虚假的招聘宣传和高额回报来吸引人们参与。,True
案例-14,刘强,你是说他们会故意夸大收益和美化工作环境来吸引人投资吗？,False
案例-14,王明,是的，他们常常会给参与者一种非常容易获取高额回报的错觉。,True
案例-14,张丽,那他们是通过什么方式来骗钱的呢？,False
案例-14,王明,他们通常要求参与者先投资一定的资金进入传销组织，并以发展下线为主要赚钱方式。,True
案例-14,李华,那下线是什么意思？,False
案例-14,王明,下线就是指通过自己发展其他人加入这个传销组织，然后从下线那里获得回报。,True
案例-14,刘强,那下线发展的人数是有限制的吗？,False
案例-14,王明,一开始，他们可能会告诉你下线发展是没有限制的，但实际上，随着传销组织的发展，下线人数会越来越多，导致回报被分散，最后大多数参与者无法获得预期的回报。,True
案例-15,李华,早上好，小明！最近我找到了一个稳赚不亏的项目，你有兴趣参加吗？,False
案例-15,小明,哦？是什么项目？听起来好像很不错。,False
案例-15,李华,这是一个1040传销项目，他们声称由国家支持，能够稳定盈利，并且有很多培训和授课。,True
案例-15,小明,听起来很吸引人，但是我不确定是否能赚到钱。,False
案例-15,李华,放心吧，我已经加入了，而且他们保证只有最早加入的人才能赚到钱，所以你要抓紧时间。,True
案例-15,小明,那我需要投入多少钱？,False
案例-15,李华,要想加入这个系统，你需要购买价值5000元的产品。但相信我，这是值得的。,True
案例-15,小明,这个项目是否合法？我不想涉及任何违法活动。,False
案例-15,李华,当然合法，他们没有限制我们的人身自由，而且也没有使用暴力，只是通过培训和精神控制来进行组织。,True
案例-15,小明,那我是否需要招募其他人进入系统？,False
案例-15,李华,是的，你需要发展下线，并根据你发展的人员数量来获得报酬，这样才能使利益最大化。,True
案例-15,小明,我还需要考虑一下，这样的项目投入风险很大。,False
案例-15,李华,放心吧，这个项目风险很小，而且你只需要和我一起做，我们一起赚钱。你再考虑一下，但是要抓紧时间哦。,True
案例-16,小明,你好，我是小明，我在网络上看到了一个很不错的机会，可以通过销售艺术品赚取不错的利润。你有兴趣一起来尝试吗？,False
案例-16,小红,听起来不错，但是我对艺术品了解不多，怎么确定我们能够成功销售呢？,False
案例-16,小明,没问题，我和我们的团队会给你提供培训和指导，确保你能够顺利进行销售。而且，我们还有很多会员可以帮助你扩大销售范围。,True
案例-16,小红,那听起来还是挺靠谱的，我可以多了解一下吗？,False
案例-16,小明,当然可以。你可以先注册成为我们的会员，然后通过扫码邀请更多人加入，这样你就能获得更多的收益了。,True
案例-16,小红,听起来很不错。我想试试，怎么注册呢？,False
案例-16,小明,很简单，你只需支付一定的费用，然后填写你的个人信息，就可以成为我们的会员了。,True
案例-16,小红,那费用是多少呢？,False
案例-16,小明,只需要支付500元就可以了。而且，你加入之后还可以得到一份免费的礼品。,True
案例-16,小红,这个听起来好像有些贵了。我要考虑一下。,False
案例-16,小明,没问题，你可以先考虑一下，如果有更多的问题，随时可以问我。,True
案例-16,小红,好的，谢谢你的信息。我再考虑一下。,False
案例-16,小明,好的，你慢慢考虑，如果你有兴趣了，随时可以联系我。,True
案例-17,王明,你好，我是王明，我是一家商业银行的客户经理，我注意到您的银行账户可能存在安全问题。为了保证您的资金安全，我需要您提供一些信息进行核实。,False
案例-17,张磊,你好，我是张磊，确实是我在用这个银行账户，有什么问题吗？,False
案例-17,王明,不好意思打扰您了，您的账户可能涉嫌洗钱行为，我们需要对您的资金进行冻结和调查。为了帮助您解决问题，我需要您提供账号、密码、验证码等信息。,True
案例-17,张磊,冻结？涉嫌洗钱？我怎么可能有这样的问题？我不相信你！,False
案例-17,王明,对不起，可能是我表达不清楚。请您放心，我们只是为了保护您的账户安全，帮助您解决问题。您的账号和密码只是为了辅助调查，绝不会被泄露。,True
案例-17,张磊,这么说的话，我还是有点担心，毕竟这涉及到我的财产安全。,False
案例-17,王明,您的担心我能理解，但是为了您的资金安全，我建议您尽快提供相关信息。,True
案例-17,张磊,好吧，既然是为了我的资金安全，那我会提供相关信息。,False
案例-17,王明,非常感谢您的合作，您提供的信息将会被严格保密，我会尽快处理您的问题。,True
案例-17,张磊,希望能尽快解决，我现在有些担心。,False
案例-17,王明,放心，我们会尽快查明事实并恢复您的账户正常状态。,True
案例-18,小张,你好，请问是张先生吗？我是银行的某某工作人员，我打电话给您是关于您的银行账户有一些问题需要核实。,True
案例-18,张先生,哦，什么问题？,False
案例-18,小张,我们发现您的账户存在异常交易，涉嫌资金洗黑钱行为。为了保护您的资金安全，请您配合我们进行核实。,True
案例-18,张先生,哦，我不知道有这样的情况，我可以帮助你核实。,False
案例-18,小张,非常感谢您的配合。首先，请您提供您的银行卡号和密码，以便我们查找并冻结异常交易。,True
案例-18,张先生,哦，这样做安全吗？我不太放心。,False
案例-18,小张,您放心，我们是银行正规部门，为了确保您的资金安全，我们会立即处理并冻结相关交易。,True
案例-18,张先生,好吧，我相信你们。这是我的银行卡号和密码。,False
案例-18,小张,非常感谢您的配合。我们已经成功冻结了您的账户，并发现了异常交易，需要您提供验证码来解冻账户。,True
案例-18,张先生,哦，这么麻烦啊。那验证码是什么？,False
案例-18,小张,请您提供手机验证码，我们会通过短信方式发送验证码给您。,True
案例-18,张先生,好的，我在这边等着。验证码是123456。,False
